,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,500,Rain,N/A,85%,59,84%,2352,"It is the summer of 1972. Thirteen-year old Janey and her parents settle into their isolated beach house for another idyllic seaside holiday. Janeys parents distract themselves from their increasingly distant marriage by drinking away their nights and sunbathing their hangovers. Meanwhile, Janey and her kid brother spend their unattended days playing by the ocean. Holding tight to her waning sexual allure, Janeys mother, Kate, has eyes for a drifter photographer who becomes the latest battleground in the quiet war between mother and daughter. Angered by her mothers infidelity, Janey begins to discover the power of her own sexuality, acting on her desires in increasingly reckless ways. As she rushes headlong into dark, adult waters, Janey is soon confronted with the terrible realization that in a moment everything can change forever.","R (adult situations/language, nudity)","Drama, Romance",Christine Jeffs,IDP Distribution,84 minutes,"Alicia Fulford-Wierzbicki, Sarah Peirse, Marton Csokas"
1,502,Der Blaue Engel (The Blue Angel),Marlene Dietrich steals more than one show in this backstage tragedy about a lowly professor besotted with a cruel and enigmatic singer.,95%,44,87%,5690,"Marlene Dietrich became an immediate international star on the strength of her performance as the temptress Lola Frohlich in Josef von Sternbergs classic tale of love and obsession. Professor Immanuel Rath (Emil Jannings) is a strict and humorless schoolmaster who is shocked when he discovers the boys in his class have been spending their time at a sleazy cabaret called The Blue Angel, where an entertainer named Lola (Dietrich) keeps the men in thrall and sells suggestive postcards of herself. Rath goes to the club in hopes of catching his students and giving them a severe dressing-down, but he instead finds himself entranced by the carefree atmosphere of the club, and is struck by Lolas earthy, sensual beauty. Rath finds himself strongly attracted to Lola, and she later entertains him in her dressing room. When word of Raths infatuation with Lola spreads to his students, he is taunted mercilessly, and eventually Rath is dismissed from the school. While Lola agrees to marry Rath, she shows little affection for him and delights in humiliating him, making him her servant and forcing him to play a clown in her stage show. The Blue Angel was shot in both German and English language versions; the German is preferable, as most of the cast were obviously more expert in that tongue. Dietrich introduced her theme song, ""Falling In Love Again"", in this picture.",NR,"Art House & International, Classics, Drama, Musical & Performing Arts",Josef von Sternberg,Universum Film Gmbh,103 minutes,"Marlene Dietrich, Emil Jannings, Kurt Gerron"
2,503,Amélie,"The feel-good Amelie is a lively, fanciful charmer, showcasing Audrey Tautou as its delightful heroine.",88%,181,95%,468910,"One woman decides to change the world by changing the lives of the people she knows in this charming and romantic comic fantasy from director Jean-Pierre Jeunet. Amelie (Audrey Tautou) is a young woman who had a decidedly unusual childhood; misdiagnosed with an unusual heart condition, Amelie didnt attend school with other children, but spent most of her time in her room, where she developed a keen imagination and an active fantasy life. Her mother Amandine (Lorella Cravotta) died in a freak accident when Amelie was eight, and her father Raphael (Rufus) had limited contact with her, since his presence seemed to throw her heart into high gear. Despite all this, Amelie has grown into a healthy and beautiful young woman who works in a cafe and has a whimsical, romantic nature. When Princess Diana dies in a car wreck in the summer of 1997, Amelie is reminded that life can be fleeting and she decides its time for her to intervene in the lives of those around her, hoping to bring a bit of happiness to her neighbors and the regulars at the cafe. Amelie starts by bringing together two lonely people -- Georgette (Isabelle Nanty), a tobacconist with a severe case of hypochondria, and Joseph (Dominique Pinon), an especially ill-tempered customer. When Amelie finds a box of old toys in her apartment, she returns them to their former owner, Mr. Bretodeau (Maurice Benichou), sending him on a reverie of childhood. Amelie befriends Dufayel (Serge Merlin), an elderly artist living nearby whose bones are so brittle, thanks to a rare disease, that everything in his flat must be padded for his protection. And Amelie decides someone has to step into the life of Nino (Mathieu Kassovitz), a lonely adult video store clerk and part-time carnival spook-show ghost who collects pictures left behind at photo booths around Paris. Le Fabuleux Destin DAmelie Poulain received unusually enthusiastic advance reviews prior to its French premiere in the spring of 2001, and was well received at a special free screening at that years Cannes Film Festival. ~ Mark Deming, Rovi",R (for sexual content),"Art House & International, Comedy, Drama, Romance",Jean-Pierre Jeunet,Miramax Films,121 minutes,"Audrey Tautou, Mathieu Kassovitz, Serge Merlin"
3,504,Little Otik,"Though rather overlong, Little Otik is a whimsical, bizarre treat.",84%,44,85%,5904,"Acclaimed animator Jan Svankmajer combines cartoon and live-action imagery to bring to life a bizarre story based on an old Czech folk tale. Karel (Jan Hartl) and Bozena (Veronika Zilkova) are a married couple who desperately want a child, but have been unable to conceive; Alzbetka (Kristina Adamcova), an only child who lives next door, has long wanted a friend to play with and feels for the couples sad dilemma. One day, Karel is digging up an old tree stump when it occurs to him that the roots look a bit like a baby; Karel brings the stump home and carves it into the image of a child, and Bozena expresses so much love for the wooden infant that it comes to life. Karel and Bozena name their new child Otik, but their joy is short-lived when they discover the infant has a bottomless appetite -- so much so that Otik begins eating stray animals and even people in an effort to satisfy its hunger. Karel and Bozena hide Otik in their basement to keep it from harming others, but Alzbetka feels sorry for the strange child and begins bringing Otik scraps of food. It soon becomes obvious that this isnt enough to keep Otik satisfied, so Alzbetka starts luring people from the neighborhood into the basement -- letting Otik do the rest. Otesanek was screened in competition at the 2000 Venice Film Festival.",NR,"Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Jan Svankmajer,Zeitgeist Films,125 minutes,"Veronika Zilková, Jan Hartl, Jaroslava Kretschmerova"
4,506,Come Undone,N/A,77%,31,67%,2690,"The third collaboration between screenwriter Stephane Bouquet and writer/director Sebastien Lifshitz, Presque Rien is the story of a young French man coming to terms with his mothers depression, and his own homosexuality, during a summer holiday in France. Delicately handsome Mathieu (Jeremie Elkaim) has come to a seaside resort town with his sisters Annick (Marie Matheron) and Sarah (Laetitia Legrix) and his mother (Dominique Reymond), who has suffered from a crippling depression ever since her newborn baby died of cancer. One day while sunning himself on the beach with Sarah, Mathieu notices the attentions of Cedric (Stephane Rideau), a sturdy, handsome, slightly older youth. The two quickly develop an illicit romance, spending their days combing the beach and their evenings slipping off for passionate sex. Cedric, it turns out, has dropped out of school and, after a brief stint as a rent boy and a failed relationship with a boy named Pierre (Nils Ohlund), moved over one town and settled into a comfortable routine of blue-collar work. The sturdy, good-natured Cedric charms Mathieus family, but the true nature of the youths relationship soon becomes apparent, leading to conflict, especially with oldest sibling Annick. Mathieus biggest problem, however, is his sense of powerlessness over his mothers illness and the death in the family. The scenes of his romance with Cedric are interspersed with scenes from two later time periods. In one setting, we witness Mathieus recovery from a suicide attempt and subsequent refusal to accept Cedrics visits; in another, we see Mathieu return, alone, to the site of his sexual coming of age. Presque Rien received its American release under the title Come Undone; after premiering at the 2001 L.A. Outfest, a gay and lesbian film series, it received a limited art-house release. Rejane Kerdaffrec, who previously appeared in the Lifschitz/Bouquet film Les Corps Ouverts, appears in a small role as Mathieus psychiatrist.","R (adult situations/language, nudity, sex)","Art House & International, Drama",Sébastien Lifshitz,Picture This! Entertainment,97 minutes,"Jérémie Elkaïm, Stephane Rideau, Dominique Reymond"
5,507,Brotherhood of the Wolf,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.",73%,121,78%,49052,"French legend has it that a creature known as the Beast of Gevaudan -- a huge, wolf-like monster -- was responsible for the violent deaths of over 100 persons in the mid-18th century, and this horror fantasy blends the lore of this fabled beast with a story of two men who set out to capture it. After a number of mutilated corpses begin appearing across the French countryside, naturalist Chevalier Gregoire de Fronsac (Samuel Le Bihan) is dispatched by the King to find and capture the animal responsible for the killings. Mani (Mark Dacascos), an Indian from Canada and an experienced hand in the wilds, is hired to assist de Fronsac in his work. Gregoires assignment earns him the acquaintance of Marianne de Morangias (Emilie Dequenne), the lovely daughter of the idly wealthy Count de Morangias (Jean Yanne), but Gregoire receives a much chillier welcome from her brother Jean-Francois (Vincent Cassel), who, despite having lost an arm to a lion in Africa, is quite the huntsman himself. As Gregoire and Mani arrive in the village of Gevaudan, theyre drawn to a local house of prostitution, where the animalistic allure and supernatural powers of Sylvia (Monica Bellucci) prove to have a profound effect on the naive Gregoire. Jim Hensons Creature Shop provided the special-effects expertise for the creation of the Beast of Gevaudan.","R (for strong violence and gore, and sexuality/nudity)","Action & Adventure, Drama, Horror",Christophe Gans,TVA International,143 minutes,"Samuel Le Bihan, Vincent Cassel, Émilie Dequenne"
6,508,Ni na bian ji dian (What Time Is It Over There?),"Though it requires patience to view, What Time Is It There?'s exploration of loneliness is both elegant and haunting.",84%,51,79%,3612,"The emotional pull of love and the strange symmetry between two people separated by a continent provide the backdrop for this subtly comic tale from director Tsai Ming-liang. Hsiao-kang (Lee Kang-sheng) is a young man who sells watches in the streets; his father recently died, which has his mother (Lu Yi-ching) wondering about the possibilities of reincarnation and Hsiao-kang puzzled about life in general. One day, Hsiao-kang is plying his trade when hes approached by an attractive young woman, Shiang-chyi (Chen Shiang-chyi), who tells him shes going to be taking a trip to Paris. Hsiao-kang ends up selling her his own watch, which has two faces in order to tell time in two zones at once; as the days go on, he finds that he cant stop thinking about Shiang-chyi, and as he ponders what might have been (or what could be) between them, he starts changing every clock he sees to Paris time. Jean-Pierre Leaud has a brief cameo as himself; Shiang-chyi bumps into him shortly after seeing Les 400 Coups. Ni Neibian Jidian was shown in competition at the 2001 Cannes Film Festival.",NR,"Art House & International, Drama, Romance",Ming-liang Tsai,Winstar Cinemas,116 minutes,"Kang-sheng Lee, Shiang-chyi Chen, Yi-Ching Lu"
7,510,Italian for Beginners,"Unlike many romantic comedies, the charming Italian for Beginners feels natural and genuinely heart-warming.",88%,86,79%,6066,"The Dogma 95 movement has seen some searing looks into the human condition but rarely a romantic comedy -- until now. Veteran Danish filmmaker Lone Scherfig spins this deadpan look at a group of lovelorn outsiders living in a grey corner of Copenhagen. After the perennially foul-tempered minister of a local church is fired after doing great injury to the organist, Andreas moves to the area to take over the parish. Staying in a hotel until his predecessor can be wrested from the rectory, Andreas befriends the establishments scatter-brained manager, Jørgen, who is utterly in love with a beautiful Italian barmaid working at a nearby pub run by Hal-Finn. When the irascible Hal-Finn is chastised by the bars owner for his unkempt appearance, he goes to a local salon where he meets Karen, a comely hairdresser harried by her grasping mom. Meanwhile, Andreas falls for a lethally klutzy pastry shop assistant named Olympia. This film was screened at the 2001 Toronto Film Festival.",R (for language and some sexuality),"Art House & International, Comedy, Drama, Romance",Lone Scherfig,Miramax Films,112 minutes,"Anders W. Berthelsen, Anette Støvelbæk, Peter Gantzler"
8,511,Time of Favor,N/A,58%,24,78%,550,"Issues of love, loyalty, and faith are set on a collision course in this award-winning drama. Rabbi Meltzer (Asi Dayan) is a respected Orthodox rabbi and leader of a yeshiva school in a remote section of the Judean hills. One of the Rabbis favorite causes is returning Jerusalems Dome of the Rock to the control of Israel -- a holy shrine in the ancient city that Moslems use as a mosque and Jews call Temple Mount. With this goal in mind, the Rabbi organizes a military unit comprised of his students, with military officer Menachem (Aki Avni) serving as an advisor. While Menachem agrees with Rabbi Meltzer in principle, especially since the Rabbi regards the groups activities as more symbolic than anything else, he and other military authorities are wary of his plan, believing the Rabbis soldiers could easily turn into a fanatical terrorist group with the wrong twist of the political winds. One of the Rabbis prize students is a frail young man named Pini (Edan Alterman), and Meltzer is fond enough of the lad that hes decided Pini should wed his daughter Michal (Tinkerbell). But while Michal respects her father, she has a mind of her own and no interest in marrying Pini. Instead, Michal has become infatuated with Menachem, but the officer refuses to go against the Rabbis wishes; determined to follow her heart, Michal leaves home to strike out on her own. Pini is devastated by Michals departure, and he becomes newly determined to make good within Rabbi Meltzers military unit, while mapping out a secret plan with fellow student Itamar (Micha Selektar) in which theyll finally destroy the Dome of the Rock. Time of Favor won wide acclaim in Israel, earning six Israeli Academy awards, including Best Picture, and it was the nations official entry for the 2000 American Academy Awards competition (though it failed to make it into the final field of nominees).",NR,"Art House & International, Drama",Joseph Cedar,Kino International,102 minutes,"Aki Avni, Assi Dayan, Idan Alterman"
9,513,Heart of Glass (Herz aus Glas),N/A,92%,12,72%,3115,"A mesmeric production by Werner Herzog about the power and importance of art. A small town in Bavaria has become particularly famous for its beautiful ruby-colored glasswork. The glassblower responsible dies without revealing to anyone the secret of his trademark. His son tries his best to recreate the formula for the ruby glass, or his town may lose their business. Herzog actually hypnotized the actors before they went in front of the camera, and the performances are, as a result, somewhat peculiar and trancelike.",NR,"Art House & International, Drama, Special Interest",Werner Herzog,New Yorker Films,93 minutes,"Josef Bierbichler, Stefan Güttler, Clemens Scheitz"
10,514,Beijing Bicycle,"Though rather repetitive in its plot, Beijing Bicycle provides an interesting look at the economic and social changes that have occurred in China.",62%,60,74%,4857,"Following up on his gritty 1998 drama So Close to Paradise, about life among the down and out in Shanghai, acclaimed ""sixth generation"" filmmaker Wang Xiaoshuai shifts gears with this lighthearted look at bicycles in modern-day Beijing. At the ripe age of 17, Guei (Cui Lin) has left his rural hometown for the big city, looking to strike it rich. Instead, he lands a job as a bicycle messenger, earning paltry pay until he can pay off the bike. Yet he works doggedly without complaint, each day coming closer to the first possession in his planned riches. But just as he is about to pay off the bike, it gets stolen. Guei desperately searches the city and eventually spies a young man named Jian riding it. After the ensuing confrontation, Jian claims that he picked up the bike in a flea market and that it has already become central to his life, as he uses it to impress the girls. Soon, the two develop an unusual compromise. This film was screened at the 2001 Toronto Film Festival.",PG-13 (for some violence and brief nudity),"Art House & International, Drama",Xiaoshuai Wang,Sony Pictures Classics,113 minutes,"Cui Lin, Li BinLi Bin"
