,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,1,Shanghai Triad (Yao a yao yao dao waipo qiao),"Well-acted and beautifully filmed, Shanghai Triad deftly depicts a young man's coming of age against the backdrop of mob violence and its punishing legacy.",87%,23,71%,4419,"Country boy Shuisheng (Wang Xiaoxiao) is brought to 1930s Shanghai by his uncle who wants the boy to become a member of the powerful gang ruled by manipulative Tang (Li Baotian). In fact, Shuisheng will serve Tangs capricious mistress Bijou (Gong Li), a nightclub singer whom the boss proclaimed ""the Queen of Shanghai."" When the boys uncle and the gangs several other members die during a rival gangs unsuccessful attempt on Tangs life, the latter retreats to a remote small island, taking both Bijou and Shuisheng with him and thinking of revenge. The films English-language title is a little bit deceiving (the original Chinese title translates to ""Row, Row, Row to Grandmothers Bridge,"" a line in Tangs favorite song performed by Bijou), as this drama centers more on the boys coming of age and Bijous disillusionment than on Shanghai gang wars.","R (adult situations/language, violence)","Action & Adventure, Art House & International, Drama",Zhang Yimou,Sony Pictures Home Entertainment,107 minutes,"Li Gong, Baotian Li, Li Xuejian"
1,3,Lamerica,N/A,91%,11,89%,684,"An opportunistic Italian swindler heads to Albania and finds himself involved with the life of an impoverished local in this somber political drama. Gino (Enrico Lo Verso) and his partner in crime Fiore (Michele Placido) come to Albania with a money-making scheme designed to capitalize on the surrounding political chaos. For the con to work, however, they need an easily exploitable native Albanian, and they recruit Spiro (Carmelo Di Mazzarelli). Easily confused and utterly impoverished, this elderly former political prisoner seems the perfect choice, until he unexpectedly disappears. Gino is assigned to find him, setting out on a journey that leads him to discover Spiros tragic personal history and become intimately acquainted with the full extent of Albanian poverty.",NR,"Art House & International, Drama",Gianni Amelio,Arena Films,125 minutes,"Enrico Lo Verso, Michele Placido, Carmelo Di Mazzarelli"
2,4,The Postman,"A massive miscalculation in self-mythologizing by director and star Kevin Costner, The Postman would make for a goofy good time if it weren't so fatally self-serious.",8%,36,50%,55589,"Kevin Costner directed and stars in this adaptation of David Brins science fiction novel The Postman (1985), first published in 1982 issues of Isaac Asimovs Science Fiction Magazine. Costners return to directing after his Oscar-winning Dances With Wolves(1990) is a futuristic epic depicting the aftermath of a destructive war. Some 16 years from the present day, America has been turned into a wasteland of separated communities minus a national government. A vagabond (Costner) who travels through these little villages performing Shakespeare is captured by marauders known as the Holnists, and thrown into a totalitarian labor camp run by a Hitler-like dictator, General Bethlehem (Will Patton). Making an escape, the drifter, known to some as ""Shakespeare,"" stumbles across an abandoned U.S. Postal Service jeep and dons the dead postal-workers uniform. With a scheme simply to get food, he sets out to deliver 15-year-old mail, proclaiming himself The Postman, and discovers that residents accept his lies about a restored United States government because they desperately need something to believe in. This hope leads to the thought that perhaps the United States of America could indeed be restored, so an unusually inspired young man, Ford (Laren Tate) is deputized with the ""Neither snow, nor rain..."" oath to become the countrys second Postman. At the town of Pineview, the attractive Abby (Olivia Williams), who has an impotent husband, asks The Postman to impregnate her. After Abbys husband is killed during a raid by Bethlehem, she is taken prisoner but injures Bethlehem and makes an escape. Pregnant, she spends the winter nursing the wounded Postman in a snowbound cabin. When spring comes, they emerge to discover that Ford has organized an entire squad of mail deliverers who regard The Postman as a mythical hero. The Postman reluctantly accepts his messianic role in the rebirth of the country, even as it becomes clear that the rebel force must ultimately battle and defeat the Holnist army in order to regain the American Dream. ~ Bhob Stewart, Rovi","R (sex, violence)","Action & Adventure, Science Fiction & Fantasy",Kevin Costner,Warner Home Video,177 minutes,"Kevin Costner, Will Patton, Larenz Tate"
3,6,French Twist (Gazon maudit),N/A,55%,11,62%,2256,"In this erotic French comedy, Laurent is frequently unfaithful to his unsuspecting wife Loli. However, when Laurent accuses his wife of having an affair with their lesbian houseguest Marijo, his infidelity is revealed. Loli and Marijo do indeed begin a passionate affair, causing many conflicts between the married couple.",R,"Art House & International, Comedy",Josiane Balasko,Canal +,105 minutes,"Victoria Abril, Alain Chabat, Josiane Balasko"
4,8,The White Balloon (Badkonake sefid),"The White Balloon tells a simple yet powerfully effective story through a child's eyes, inviting audiences to see familiar surroundings from a different perspective.",80%,20,90%,1735,"A seven-year old girls quest for a beautiful goldfish provides the basis of this charming Iranian childrens drama set the day before Irans New Years eve celebration and filmed in real time. Razieh really wants this fish, which is much prettier and plumper than those in her neighbors pool. Unfortunately, her mother cannot afford such a luxury and refuses to buy it. Razieh then talks her brother, who can also see no point in owning the fish, into convincing their mother to change her mind. He is successful and the mother reluctantly gives the little girl the very last banknote with strict instructions that she is to bring back every bit of change as the mother needs it to pay household bills. The girl then sets out across the city; soon she finds herself distracted by a snake charmer who cons her out of her precious note and frightens the girl half to death, finally driving home the reasons why her parents wanted her to avoid that part of the city. Fortunately she manages to get the money back, but before she gets to the market, she accidentally drops the bill. Later an old woman helps her go back to find it. Unfortunately, the money has blown beneath the curbside cellar grate of a closed shop. Many people gather on the grate while the vendors begin closing up for the upcoming holiday. All are interested in helping the girl get her money. They must hurry, for the fish vendors shop is closing soon.",NR,"Art House & International, Drama, Kids & Family",Jafar Panahi,October Films,90 minutes,"Aida Mohammadkhani, Mohsen Kalifi, Fereshteh Sadre Orafaiy"
5,10,La Haine,"Hard-hitting and breathtakingly effective, La Haine takes an uncompromising look at long-festering social and economic divisions affecting 1990s Paris.",100%,25,95%,40745,"While to most outsiders Paris seems the very picture of beauty and civility, France has had a long and unfortunate history of intolerance toward outsiders, and this powerful drama from filmmaker Mathieu Kassovitz takes an unblinking look at a racially diverse group of young people trapped in the Parisian economic and social underclass. Vinz (Vincent Cassel), who is Jewish, Hubert (Hubert Kounde), who is Black, and Said (Said Taghmaoui), who is Arabic, are young men from the lower rungs of the French economic ladder; they have no jobs, few prospects, and no productive way to spend their time. They hang out and wander the streets as a way of filling their days and are sometimes caught up in frequent skirmishes between the police and other disaffected youth. One day, a street riot breaks out after police seriously injure an Arab student; the three friends are arrested and questioned, and it is learned that a policeman lost a gun in the chaos. However, what they dont know is that Vinz picked it up and has it in his possession, and when Vinz, Hubert, and Said get into a scuffle with a group of racist skinheads, the circumstances seem poised for tragedy. Actress Jodie Foster was so impressed with La Haine when she saw it at the 1995 Cannes Film Festival that she helped to arrange American distribution for the film through her production company, Egg Pictures.",R,"Art House & International, Drama",Mathieu Kassovitz,Criterion Collection,97 minutes,"Vincent Cassel, Hubert Kounde, Saïd Taghmaoui"
6,11,Keiner liebt mich (Nobody Loves Me),N/A,67%,6,85%,417,"The characters in this German romantic comedy that follows a 30-year old single woman searching for love, have a distinctly Felliniesque quality to them. Fanny Fink desperately wants a man. Her closest male friend is Orfeo, a gay con-man who claims to be a self-taught African witch doctor. For a price, Orfeo agrees to conjure up Fannys dream lover. What she gets is the creepy building supervisor Lothar. Meanwhile, Lothar, who believes he is about to be killed and abducted by aliens, suddenly disappears taking Fannys money with him. Fanny learns an valuable lesson and eventually finds her man, a man who has been there all along. ~ Sandra Brennan, Rovi",NR,"Art House & International, Comedy, Drama, Romance",Doris Dörrie,Cinépix Film Properties (CFP),104 minutes,"Anja Hoffmann, Maria Schrader, Pierre Sanoussi-Bliss"
7,12,Rumble in the Bronx,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,80%,55,64%,59562,"After years as a major star in most of the rest of the world, Jackie Chan finally broke through to stardom in the United States with Rumble in the Bronx, a dubbed and re-edited version of Hung Fan Kui. Here Chan plays Keung, a police officer from Hong Kong who travels to New York to attend the wedding of his uncle, Bill (Bill Tung). Bill has just sold his grocery store to Elaine (Anita Mui), and Keung finds Elaine to be a pretty good reason to extend his visit to New York. However, a mean-spirited and fashion-challenged street gang has moved into the neighborhood and is demanding protection money from the local storekeepers. Elaine is ready to sell the store and move on, but Keung is determined to show the toughs that hes not about to be pushed around. Things get even more sticky when the hoods are on the trail of a lost cache of stolen jewels. ~ Mark Deming, Rovi","R (nudity, violence)","Action & Adventure, Art House & International, Comedy","Stanley Tong, Tong Kwei Lai",New Line Cinema,89 minutes,"Jackie Chan, Anita Mui, Francoise Yip"
8,13,Chungking Express,"Even if all it had to offer were writer-director Wong Kar-wai's thrillingly distinctive visuals, Chungking Express would be well worth watching; happily, its thoughtfully drawn characters and naturalistic performances also pack a potent dramatic wallop.",87%,55,94%,39668,"Wong Kar-Wais movie about two love-struck cops is filmed in impressionistic splashes of motion and color. The first half deals with Cop 223, who has broken up with his girlfriend of five years. He purchases a tin of pineapples with an expiration date of May 1 each day for a month. By the end of that time, he feels that he will either be rejoined with his love or that it too will have expired forever. The second half shows Cop 663 dealing with his breakup with his flight attendant girlfriend. He talks to his apartment furnishings until he meets a new girl at a local lunch counter.",PG-13,"Art House & International, Comedy, Drama, Mystery & Suspense, Romance",Kar-Wai Wong,Miramax,103 minutes,"Takeshi Kaneshiro, Brigitte Lin, Tony Leung Chiu Wai"
9,16,Frankie Starlight,N/A,71%,7,71%,351,"A small man with a big story examines the facts of his life in this drama. As Frank Bois enjoys the success of his first novel, he finds himself looking back on his highly unusual life. Franks mother Bernadette (Anne Parillaud) was a French woman who, after the death of her parents and several close friends in World War II, smuggled herself aboard an Allied troop ship sailing to Ireland, exchanging sexual favors for silence among the soldiers who discovered her on board. A kind-hearted customs agent, Jack Kelly (Gabriel Byrne), allowed Bernadette to enter Ireland, and they soon became lovers, even though she was already carrying the child of one of the soldiers from the ship. Bernadette soon gave birth to young Frankie (Alan Pentony), who suffered from dwarfism. As he grew older, Frankie fell for Jacks daughter Emma (Georgina Cates), who clearly didnt care for him, while Jack generously shared his knowledge of astronomy with Frankie. Eventually, Bernadette encountered Terry Klout (Matt Dillon), an American soldier from the troop ship, who offered to marry her. Bernadette and Frankie accompanied Terry to his home in Texas, but both mother and son felt like fish out of water in the American West, and they returned to the Irish home they came to love. A sadder but wiser Bernadette eventually committed suicide, and Frank began to draw upon his life experiences as he put pen to paper for his first book. Based on the novel The Dork of Cork by Chet Raymo, Frankie Starlight was directed by Michael Lindsay-Hogg.",R,Drama,Michael Lindsay-Hogg,New Line Home Entertainment,100 minutes,"Anne Parillaud, Matt Dillon, Gabriel Byrne"
