,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,2500,Chopping Mall (Killbots),N/A,56%,9,38%,6287,"This update of the TV movie Trapped is also known as Killbots and Robot. It concerns a group of teenagers trapped in a mall overnight. Instead of looting the stores, they must flee the machinations of a fleet of security robots gone haywire after an electrical storm.",R,"Action & Adventure, Horror, Science Fiction & Fantasy",Jim Wynorski,Concorde Pictures,77 minutes,"Kelli Maroney, Tony O'Dell, John Terlesky"
1,2501,My Science Project,N/A,14%,7,56%,6218,"A high-school student accidentally discovers a strange device in a military dump, and he submits the contraption as a last-minute science project -- unaware that its actually an alien time machine with the power to destroy the world. When he activates the device at the science fair, chaos ensues.",PG,"Comedy, Science Fiction & Fantasy",Jonathan Betuel,Touchstone Pictures,94 minutes,"Dennis Hopper, John Stockwell, Danielle von Zerneck"
2,2504,The Castle,"Home is where the heart is in The Castle, a rousing Australian comedy that gives audiences an endearing family to root for.",87%,38,92%,14604,"Working-class tow-truck driver and father of four Darryl Kerrigans (Michael Caton) only distinguishing feature is his beaming reverence for his home and family. Although is kids appear to be underachievers and his home is located on the edge of a major international airport, his family is his pride and joy and his home is his castle. So when goverment officials demand that Kerrigan sell his house for an expansion of the airport, he fights back through the legal system- all the way up to the Supreme Court.",R (for language),Comedy,Rob Sitch,Miramax Films,85 minutes,"Michael Caton, Anne Tenney, Stephen Curry"
3,2506,This Is My Father,N/A,75%,28,81%,1395,"This Is My Father chronicles the journey of a disillusioned Chicago schoolteacher who returns to Ireland with his nephew in search of the man who was his father. Widowed and childless, the lonely Kieran Johnson is no longer able to relate to his students. His fragile mental state is mirrored by his family circumstances: his mother has had a stroke and is unable (or unwilling) to communicate and his divorced sister, Betty, is burdened with their mothers care while trying to raise her troubled teenage son Jack.",R (for a scene of sexuality and brief language),"Art House & International, Documentary, Drama, Musical & Performing Arts, Romance",Paul Quinn,Sony Pictures Classics,60 minutes,"Aidan Quinn, James Caan, Stephen Rea"
4,2509,Trippin,Trippin' struggles to balance its raunchy teen comedy elements against an unfortunate tendency toward preachy moralizing.,18%,28,78%,1430,"A high-school senior finds himself walking a fine line between daydreams and reality in the comedy Trippin. Gregory Reed (Deon Richmond) is soon to graduate from high school, and he frequently drifts into a Walter Mitty-style fantasy land where hes the coolest guy in town, has money to burn, and fine ladies are throwing themselves at him around the clock; however, back in the real world, Gregory has a lousy job, no girlfriend, and no solid prospects of a date for the prom. A much bigger worry to his parents is the fact that Gregory has done almost nothing about planning for his future after graduation; hes so preoccupied by his problems with women that he hasnt even started applying to colleges. His best friend, June (Donald Faison), has got girls to spare, but while he has a future ahead of him, it isnt a good one -- hes started selling stolen goods for low-level crime boss Kenyatta (Stoney Jackson). The girl of Gregorys dreams is Cinny Hawkins (Maia Campbell), whos beautiful, smart -- and has a boyfriend. Figuring hell settle for whatever attention he can get, Gregory asks Cinny if she can help him with his college applications, as shes been through the route and has already been accepted. Cinny agrees, and as she and Gregory become friends, she starts to wonder if her pushy boyfriend is really the guy she wants to take to the prom. Balancing typical teen-flick humor with a pointed message about personal responsibility, Trippin was a surprise box-office success in the spring of 1999. Director David Raynrs own teenage years included a brief stint as a regular on the TV series James at 15. ~ Mark Deming, Rovi","R (adult situations/language, violence)",Comedy,"David Hubbard, David Raynor, David Raynr",USA Home Entertainment,92 minutes,"Deon Richmond, Donald Faison, Maia Campbell"
5,2512,Edge of Seventeen,N/A,75%,20,72%,3822,"The year is 1984. The music is Boy George and the Bronski Beat. Eric and his best friend, Maggie, are on the edge of seventeen and donning matching polyester uniforms for their summer amusement-park cafeteria jobs in small-town Sandusky, Ohio. They learn the fine art of dishing up rib-chick combos and tater logs from their brassy boss, Angie. Maggie develops a special twinkle in her eye for Eric. Everything hums along until Eric see Rod, a gorgeous hunk with dreamy blue eyes, bussing tables. No one knows Eric is gay. Not Maggie. Not his mother. Not even Eric himself, really. In this refreshingly honest and exceptionally crafted first feature, the conflicts and confusions of teenage sexuality are a perfect match for the equally conflicted and confused 1980s. With a distinct sense of place and amazing performances by Chris Stafford, Tina Holmes, and Lea DeLaria, Edge of Seventeen is a remarkable achievement: a coming-of-age story that is sentimental without being cutsie, a powerful portrait of a family dealing with undesirable change, and an uncompromising depiction of the complexities of sexual experience, ranging from the heady romance of a first kiss to the messy realities of adult sex. A musical score by Tom Bailey of the Thompson Twins completes the films dead-on portrait of the mideighties, complete with eyeliner, two-toned hair, and skinny ties. Edge of Seventeen is a must-see for all of us who survived the fashion disaster known as ""the eighties.""",R (adult situations),"Comedy, Drama",David Moreton,Strand Releasing,99 minutes,"Chris Stafford, Tina Holmes, Andersen Gabrych"
6,2513,Endurance,N/A,50%,26,50%,330,"Years before he competed in the 1996 Olympics, when his only idea of the outside world came from a static-laced radio broadcast, the boy named Haile Gebrelassie decided to run. The eighth of ten children born to a farmers wife in a mud hut in Ethiopia, one of the worlds poorest countries, he ran six miles to school and back, his books tucked in the crook of one arm. Like all of his siblings, he worked hard in the fields under his fathers stern gaze. Haile, however, was known for his persistance, still chopping firwood or threshing wheat when his older brother had given up, still goading oxen to pull the plow farther. After the chores were done and his daily three-hour trip to fetch the familys water, he would take off across the fields. Then he would run - barefoot and in the same clothes he wore while working on the farm.",PG (for breif nudity),"Documentary, Drama","Leslie Woodhead, Bud Greenspan",Buena Vista Pictures,83 minutes,"Haile Gebrselassie, Haile Gebrsellasie, Shawananness Gebrselassie"
7,2514,Star Wars: Episode I - The Phantom Menace,"Burdened by exposition and populated with stock characters, The Phantom Menace gets the Star Wars prequels off to a bumpy -- albeit visually dazzling -- start.",53%,228,59%,1209072,"In 1977, George Lucas released Star Wars, the ultimate sci-fi popcorn flick-turned-pop-culture myth machine. It quickly became the biggest money-making film of all time and changed the shape of the film industry. After two successful sequels (1980s The Empire Strikes Back and 1983s Return of the Jedi) that extended the story of the first film, Lucas took some time off to produce movies for others, with mixed success. In 1999, Lucas returned to the Star Wars saga with a new approach -- instead of picking up where Return of the Jedi left off, Star Wars: Episode I -- The Phantom Menace would be the first of a trilogy of stories to trace what happened in the intergalactic saga before the first film began. Here, Obi-Wan Kenobi (Ewan McGregor) is a young apprentice Jedi knight under the tutelage of Qui-Gon Jinn (Liam Neeson); Anakin Skywalker (Jake Lloyd), who will later father Luke Skywalker and become known as Darth Vader, is just a nine-year-old boy. When the Trade Federation cuts off all routes to the planet Naboo, Qui-Gon and Obi-Wan are assigned to settle the matter, but when they arrive on Naboo they are brought to Amidala (Natalie Portman), the Naboo queen, by a friendly but opportunistic Gungan named Jar Jar. Qui-Gon and Obi-Wan plan to escort Amidala to a meeting of Republic leaders in Coruscant, but trouble with their spacecraft strands them on the planet Tatooine, where Qui-Gon meets Anakin, the slave of a scrap dealer. Qui-Gon is soon convinced that the boy could be the leader the Jedis have been searching for, and he begins bargaining for his freedom and teaching the boy the lessons of the Force. The supporting cast includes Pernilla August as Anakins mother, Terence Stamp as Chancellor Valorum, and Samuel L. Jackson as Jedi master Mace Windu. Jackson told a reporter before The Phantom Menaces release that the best part about doing the film was that he got to say ""May the Force be with you"" onscreen. ~ Mark Deming, Rovi",PG (for sci-fi action/violence),"Cult Movies, Kids & Family, Science Fiction & Fantasy",George Lucas,20th Century Fox,131 minutes,"Liam Neeson, Ewan McGregor, Natalie Portman"
8,2515,The Love Letter,Poor character development and scripting hamper any romantic chemistry.,33%,51,38%,8023,"Helen (Kate Capshaw) runs a bookstore in Loblolly By The Sea, a small fishing community in New England where everyone seems to know everyone elses business. A 42-year-old single mother, she is emotionally distant and fearful of getting too close to anyone. George (Tom Selleck) has known Helen since they were schoolmates, and hes been in love with her for ages, but has always settled for just being her friend. Convinced she wasnt interested in him, he married another woman years ago. Helen also has another secret admirer, Johnny (Tom Everett Scott), who isnt at all put off by the fact that Helen is twice his age. Johnny, however, is currently occupied with Jennifer (Julianne Nicholson), a fellow student who also works at the bookstore and is crazy about him. Into this tangled web of unrequited love comes an amorous letter that Helen finds in the store one day. The letter bears no signature and no address; its at once passionate and oblique, fervent and cryptic. Its very interesting stuff. So who wrote it? And to whom was the writer planning to send it? Before long, the letter has made its way through this circle, and everyone has an idea (or a hope) of who their secret love is, although no one knows for sure or just how to find out. The Love Letter marked the American debut of director Peter Ho-Sun Chan, who enjoyed success in Hong Kong with Comrades: Almost A Love Story and Hes A Woman, Shes A Man. The supporting cast includes Ellen DeGeneres, Blythe Danner, and Gloria Stuart. The Love Letter may be best remembered as the only major studio film to open the same week as Star Wars: Episode One -- The Phantom Menace. ~ Mark Deming, Rovi","PG-13 (for some sensuality, nudity and strong language)","Comedy, Romance","Peter Ho-Sun Chan, Peter Chan",DreamWorks SKG,88 minutes,"Kate Capshaw, Blythe Danner, Ellen DeGeneres"
9,2517,Frogs for Snakes,N/A,27%,11,18%,317,"FROGS FOR SNAKES is a neo-noir comic thriller centering on the hopes and ambitions of a motley ensemble of New York theater actors, who moonlight as illegal money collectors. Eva, the only group member with genuine acting ability and common sense, is fed up with the pretense of this twisted underworld and dreams of leaving town with her five-year-old son, Augie. She yearns to move to the suburbs and simply ""be."" Evas soul mate in this strange, incestuous community is Quint, who owns the diner where she waitresses. In the meantime, Eva supports herself and her son by making collections for a loan shark, who just happens to be her ex-husband, Al Santana. Al, the gangs ""boss"", also fancies himself a theatrical impresario. He plans to stage a production of David Mamets American Buffalo and has already cast two of the three male parts. Naturally, everyone wants a part, particularly the coveted role of Teach, in this classic production. Al is confronted by his driver/hitman/actor UB who is desperate for a role. He tells Al, ""I f**king love American Buffalo. Its my favorite play. Id kill to play Teach!"" Al offers UB the part if he kills Evas new boyfriend Zip. Ever the ambitious thespian, UB whacks Zip and sets the film on its merry and murderous way - as all the characters get to perform their favorite monologues for anyone who will listen. Ultimately, Eva teams up with her friend, Myrna, for a double mission of score settling -- to find both their kidnapped children and Zips killer.","R (for strong violence, sexuality and sex-related dialogue, language and some drug use)","Action & Adventure, Comedy, Mystery & Suspense",Amos Poe,TSG Pictures,115 minutes,"Robbie Coltrane, Barbara Hershey, Harry Hamlin"
