,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,32010,Bad Turn Worse,"It wears its influences on its sleeve, but Bad Turn Worse still boasts more than enough pulpy thrills to justify its place at the table.",80%,41,51%,1200,"With only a few weeks left until his two best friends leave for college, Billy Joe robs his cotton farmer boss, Giff, in order to pay for one last blow out weekend in Corpus Christi, Texas. Upon returning, the teens are confronted by the unfortunate and brutal consequences of stealing from his boss. Now Billy Joe, Sue and Bobby must embark on a dangerous journey that will test their trust and friendship and take them across the line from carefree adolescence into the harsh reality of adulthood.",NR,Drama,"Simon Hawkins, Zeke Hawkins",Starz Media,91 minutes,"Mackenzie Davis, Logan Huffman, Jeremy Allen White"
1,32032,Anomalisa,"Anomalisa marks another brilliant and utterly distinctive highlight in Charlie Kaufman's filmography, and a thought-provoking treat for fans of introspective cinema.",92%,266,71%,19586,A man struggles with his inability to connect with other people.,"R (for strong sexual content, graphic nudity and language)","Animation, Comedy, Drama","Charlie Kaufman, Duke Johnson",Starburns Industries,96 minutes,"Jennifer Jason Leigh, David Thewlis, Tom Noonan"
2,32033,Colonia,N/A,26%,47,61%,3912,"A young womans (Emma Watson) desperate search for her abducted boyfriend (Daniel Brühl) that draws her into the infamous Colonia Dignidad, an ex-Nazi cult that nobody ever escaped from.",R (for language and some violence/torture),"Art House & International, Mystery & Suspense",Florian Gallenberger,Majestic Filmproduktion,110 minutes,"Emma Watson, Daniel Brühl, Michael Nyqvist"
3,32060,Some Kind of Beautiful,"Stranding Pierce Brosnan as a charmless cad, this tone-deaf romantic comedy is Some Kind Of something, but it definitely isn't beautiful.",6%,34,31%,1565,"By day, Richard Haig is a successful and well-respected English professor at renowned Trinity College in Cambridge. By night, Richard indulges his own romantic fantasies with a steady stream of beautiful undergraduates. But Richard has grown tired of the game and is looking for something more meaningful and lasting. So when Kate, Richards tanned, athletic, 25-year-old American girlfriend tells him that she is pregnant, Richard is thrilled. He looks forward to having a family of his own, being a father his children could be proud of, not some sex-fueled bobcat. There is only one problem. Richards not in love with Kate. Richard is in love with Kates sister, Olivia. He had been in love with her ever since he first saw her.","R (for language, sexual content, some nudity and drug use)",Comedy,Tom Vaughan,Lionsgate,90 minutes,"Pierce Brosnan, Salma Hayek, Jessica Alba"
4,32100,The Vatican Tapes,"A loud, rote exorcism thriller that presents nothing new to an already overpopulated subgenre.",20%,45,60%,3130,"THE VATICAN TAPES follows the ultimate battle between good and evil- God versus Satan. Angela Holmes is ordinary 27-year- old until she begins to have a devastating effect on anyone close, causing serious injury and death. Holmes is examined and possession is suspected, but when the Vatican is called upon to exorcise the demon, the possession proves to be an ancient satanic force more powerful than ever imagined. Its all up to Father Lozano (MICHAEL PEÑA) to wage war for more than just Angelas soul, but for the world as we know it. (C) Lionsgate","PG-13 (for disturbing violent content, and some sexual references)","Drama, Horror, Mystery & Suspense",Mark Neveldine,Pantelion Films,90 minutes,"Olivia Taylor Dudley, Michael Peña, Djimon Hounsou"
5,32111,Runoff,N/A,83%,18,79%,248,"The beauty of the land cannot mask the brutality of a farm town. As harvest draws near, Betty confronts a terrifying new reality and will go to desperate lengths to save her family when they are threatened with being forced from their land. An old friend, struggling to keep his own farm profitable by any means necessary-offers Betty a way out. She refuses to get involved, but as the pressures mount for her family and they are on the brink of eviction, her husband, Frank, reveals that he is seriously ill. How far will one to go to take care of ones own? Recalling all that is heartland Americana, this film combines an ecological urgency with a compelling yet sensitive story. (C) Monterey",R (for some drug use),Drama,Kimberly Levin,Monterey Media,90 minutes,"Joanne Kelly, Tom Bower, Alex Shaffer"
6,32117,The Intern,"The Intern doesn't do enough with its timely premise, but benefits from the unorthodox chemistry of its talented leads.",60%,191,73%,45062,"A retired successful business owner and widower lands an internship at a fashion website run by a young, career-driven woman. ~ Jason Buchanan, Rovi",PG-13 (for some suggestive content and brief strong language),Comedy,Nancy Meyers,Warner Bros. Pictures,121 minutes,"Anne Hathaway, Robert De Niro, Rene Russo"
7,32124,Extinction,"Extinction has a few intriguing ideas, but they -- and some game performances from its talented stars -- are lost in the movie's muddled plot and frustrating pacing.",20%,10,33%,1914,"For nine years, Patrick (Matthew Fox), Jack (Jeffrey Donovan) and his daughter Lu (Quinn McColgan) have outlasted the zombie apocalypse by shutting themselves off in the snowbound town of Harmony. The monsters have seemingly disappeared, with no sign of other survivors, but the constant fear of the unknown is starting to take a toll on this makeshift family. When Patrick goes scavenging for food, he discovers the undead have returned and evolved into something terrifying, beyond imagination. Will the last breath of the human race survive a second zombie apocalypse?","R (horror violence, terror and language)","Drama, Horror, Mystery & Suspense",Miguel Ángel Vivas,Vertical Entertainment,110 minutes,"Matthew Fox, Jeffrey Donovan, Quinn McColgan"
8,32126,L'intrepido,N/A,45%,11,33%,34,"Set in modern day Milan, INTREPIDO: A LONELY HERO is a Chaplinesque odyssey through the world of work - every type of work, but primarily unskilled manual labour - as seen through the eyes of a kind, middle-aged man who takes on every conceivable temporary job. Beautifully wrought by master Italian director Gianni Amelio, the film is a portrait of the highs and lows of modern life. At its heart is a sympathetic man who, despite loneliness and personal family problems, especially around his gifted but troubled musician son, remains defiantly optimistic even when terrible things happen to him and the people he meets. With echoes of films such as Being There and Zelig, INTREPIDO is gently satirical and acutely observed while retaining the atmosphere of a classic fable.",NR,"Comedy, Drama",Gianni Amelio,Emerging Pictures,104 minutes,"Antonio Albanese, Livia Rossi, Gabriele Rendina"
9,32131,The Suicide Theory,N/A,79%,19,69%,459,"THE SUICIDE THEORY is an intense thriller that takes the viewer on an unexpected rollercoaster of twists and turns. A suicidal man hires a demented killer to assist him in suicide, but for some reason, miraculously survives each attempt on his life. (C) Freestyle","R (for strong violence, language and some sexual content)",Drama,Dru Brown,Freestyle Releasing,98 minutes,"Leon Cain, Steve Mouzakis, Erin Connor"
10,32134,Dreamcatcher,An incoherent and overly long creature feature.,28%,183,35%,132344,"Jonesy, Henry, Pete and Beaver. Twenty years ago they were just kids in a small town in Maine - kids who found the courage to respond heroically to childhood cruelty. In saving a strange boy named Duddits, they unexpectedly gained a fifth friend at the center of their circle. Even more unexpected were the uncanny powers he conveyed to them, bonding them all beyond ordinary friendship. Now the four are men with separate lives and separate problems, haunted by the memory of heroism, with powers that are more of a burden than a gift. When a shocking accident almost claims one of them, they dont at first recognize the return of the eeriness that is somehow linked to Duddits. But when they reunite for their annual visit to a hunting cabin in the north woods, anticipating only the warmth and humor that nourishes them, they are overtaken by a gathering doom. First comes a stranger, a lost hunter unaware of the terrible contagion he bears. On his heels is a blizzard, a vicious storm in which something much more ominous moves--a deadly alien force that will consume some of the foursome and force those who make it to the end of the road to once again summon their forgotten strength--and confront an unparalleled horror.","R (for violence, gore and language)","Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Lawrence Kasdan,Warner Bros. Pictures,134 minutes,"Thomas Jane, Jason Lee, Damian Lewis"
11,32139,Love,N/A,60%,15,44%,747,"After losing contact with Earth, Astronaut Lee Miller becomes stranded in orbit alone aboard the International Space Station. As time passes and life support systems dwindle, Lee battles to maintain his sanity - and simply stay alive. His world is a claustrophobic and lonely existence, until he makes a strange discovery aboard the ship.",NR,"Drama, Science Fiction & Fantasy",William Eubank,Gravitas,90 minutes,"Gunner Wright, Corey Richardson, Bradley Horne"
12,32144,The Room,"A bona fide classic of midnight cinema, Tommy Wiseau's misguided masterpiece subverts the rules of filmmaking with a boundless enthusiasm that renders such mundanities as acting, screenwriting, and cinematography utterly irrelevant. You will never see a football the same way again.",25%,28,47%,9723,"This film centers on Johnny, a man who has it all; great friends, a good job, and a gorgeous fiancée named Lisa. But Lisas innocent act masks the fact that shes looking to bring Johnny down, and her manipulations are tearing Johnny apart. As Lisa informs her cancer-ridden mother, Claudette, that Johnny hit her (and he did not hit her, that is bull$&*t, he did not!), Johnnys best friend, Mark, finds his resistance to Lisas seductive charms weakening. Meanwhile, local orphan Denny looks up to Johnny, and needs the older mans help after the teen rips off a drug dealer. What kind of drugs? It doesnt matter. Then guys play football in tuxedos, because you can play football anywhere. This movie is seriously not to be missed.","R (for sexuality, language and brief violence)","Comedy, Cult Movies, Drama, Special Interest, Romance",Tommy Wiseau,Chloe Productions,84 minutes,"Tommy Wiseau, Juliette Danielle, Greg Sestero"
13,32148,Kingdom Come,"While it has its moments, Kingdom Come is marred by a script that's low on laughs and uneven in tone.",28%,65,72%,7645,"Based on the play Dearly Departed by David Dean Bottrell and Jessie Jones (who also penned this screenplay), this new comedy from the director of Jasons Lyric looks at a family gathering after one of their clan dies of a stroke. In the midst of a sweltering summer, the Slocumb family convenes. They include Charisse (Jada Pinkett Smith), the long-suffering, frustrated wife of philandering Junior (Anthony Anderson); theres also the Bible-spouting Marguerite (Loretta Devine), who prays to save her hard-living son Royce (Darius McCrary) from a life on welfare. Lucille (Vivica A. Fox) is the devoted family peacekeeper who is struggling with a money-grubbing funeral director, and her husband Ray Bud (L.L. Cool J) has major contempt for his family and wishes he were burying them instead. Kingdom Come also features Cedric the Entertainer as an intestinally challenged reverend and Whoopi Goldberg as the family matriarch. ~ Jason Clark, Rovi",PG (adult situations),"Comedy, Drama",Doug McHenry,Fox Searchlight Pictures,95 minutes,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox"
