,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,4000,Less Than Zero,"A couple of standout performances -- notably Robert Downey, Jr. and James Spader -- and a killer soundtrack can't quite elevate a somewhat superficial adaptation of Bret Easton Ellis' story of drugged-out LA rich kids.",52%,25,52%,12474,"""""George Carlin was once asked how cocaine made you feel, and he answered: ""It makes you feel like having some more cocaine."" That inescap- able fact is at the bottom of Less than Zero, a movie that knows cocaine in- side out and paints a portrait of drug addiction that is all the more harrowing because it takes place in the Beverly Hills fast lane, in a world of wealth, sex, glamor and helpless self-destruction,"""" Roger Ebert","R (adult situations/language, nudity, violence)",Drama,Marek Kanievska,Twentieth Century Fox Home Entertainment,98 minutes,"Robert Downey Jr., Jami Gertz, James Spader"
1,4002,The Lost Boys,"Flawed but eminently watchable, Joel Schumacher's teen vampire thriller blends horror, humor, and plenty of visual style with standout performances from a cast full of young 1980s stars.",75%,63,75%,274717,"In this hit 80s hybrid of the horror movie and the teen flick, a single mom and her two sons become involved with a pack of vampires when they move into an offbeat Northern California town. Lucy (Dianne Wiest) and her sons, Michael (Jason Patric) and Sam (Corey Haim), move to Santa Carla to live with Lucys lovable but curmudgeonly father (Barnard Hughes). Lucy gets a job from video-store owner Max (Edward Herrmann), then begins dating him, while Sam hangs out with Edward and Alan Frog (Corey Feldman and Jamison Newlander), a pair of vampire-obsessed comic-shop clerks. Soon Michael falls in with some actual vampires after becoming enamored of one of their victims: Star (Jami Gertz), a gypsy-like vixen who is trying to hold on to her humanity even though vampire leader David (Kiefer Sutherland) wants to play Peter Pan to her Wendy. When Michael visits the cavernous hangout of David and his cronies and unwittingly drinks from a wine bottle full of vampiric blood, he becomes an unwilling member of the bloodsucker biker gang. Soon, its up to Sam and the Frog brothers to destroy David and his ilk without killing Michael and Star. Shot on location in the coastal California town of Santa Cruz and directed by Hollywood pro Joel Schumacher, The Lost Boys became a pop-culture phenomenon thanks to its attractive young stars, offbeat soundtrack, and hip, clever marketing campaign. The films tagline -- ""Sleep all day. Party all night. Never grow old. Never die. Its fun to be a vampire."" -- perfectly captured its knowing mixture of attitude and gore. The effects team who transformed Sutherland and company into snarling bloodsuckers would go on to provide equally gruesome effects for Blade, another revisionist vampire flick, more than a decade later. ~ Brian J. Dillard, Rovi","R (adult situations/language, violence)","Action & Adventure, Horror, Mystery & Suspense",Joel Schumacher,Warner Bros. Pictures,97 minutes,"Corey Haim, Jason Patric, Dianne Wiest"
2,4003,Made in Heaven,N/A,N/A,N/A,N/A,N/A,"In this film, Petula Clark stars as a wife whose mother-in-law enters the couple in a village contest. To win the draw, husband and wife must endure one whole year without fighting or disagreement. After they hire on a Hungarian maid, though, the wife begins to fear the worst.",NR,"Classics, Comedy, Romance",John Paddy Carstairs,General Film Distributors,90 minutes,"Petula Clark, David Tomlinson, Charles Victor"
3,4004,Maid to Order,N/A,42%,12,42%,6095,"As the result of a poorly considered wish, a snobbish little rich girl is magically transformed into a penniless nobody in this fantasy-comedy. Forced to seek work, she becomes the maid for an extremely wealthy and downright contemptible couple, learning a valuable lesson in how the other half lives.","PG (adult situations/language, nudity)",Comedy,Amy Holden Jones,Live Home Video,100 minutes,"Ally Sheedy, Beverly D'Angelo, Michael Ontkean"
4,4005,Making Mr. Right,N/A,50%,14,50%,2326,"John Malkovich plays a double role as the android Ulysses and the human physician Jeff Peters in this uneven romantic comedy. Frankie Stone (Ann Magnuson) is a shady publicist who doesnt fall for the romantic robot until the end, when everyone ends up at a low-budget wedding in a sequence of comedy capers.",PG-13 (adult situations/language),Comedy,Susan Seidelman,HBO Video,95 minutes,"John Malkovich, Ann Magnuson, Glenne Headly"
5,4007,Masters of the Universe,"Masters of the Universe is a slapdash adaptation of the He-Man mythos that can't overcome its cynical lack of raison d'etre, no matter how admirably Frank Langella throws himself into the role of Skeletor.",17%,23,17%,48724,"Dolph Lundgren stars in this live-action film version of the popular television cartoon series (based on a collection of Mattel action figures). Lundgren is He-Man, a well-muscled super-hero, battling the evil Skeletor (Frank Langella) for control of the universe. Skeletor has designs on conquering the planet Eternia, a ravaged utopia ruled over by the Sorceress of Greyskull Castle (Christina Pickles). He-Man is summoned to stop Skeletors plans. But when the wily dwarf Gwildor (Billy Barty) utilizes his Cosmic Key, He-Man and Skeletor finds themselves transported to California. There, a waitress named Julie (Courteney Cox) and her boyfriend Kevin (Robert Duncan Mitchell) come across the Cosmic Key and become embroiled in the intergalactic battle between He-Man and Skeletor.","PG (adult situations/language, violence)","Action & Adventure, Science Fiction & Fantasy",Gary Goddard,Cannon Films,109 minutes,"Dolph Lundgren, Frank Langella, Meg Foster"
6,4009,The Monster Squad,"A fun '80s adventure with a slightly scary twist, The Monster Squad offers tween-friendly horror with just enough of a kick.",67%,24,67%,35758,"A quintet of classic movie monsters invades a small town looking for a lost amulet that will help them rule the world. A bunch of kids decide to fight back by forming the ""Monster Squad.""","PG-13 (adult situations/language, violence)","Action & Adventure, Comedy, Horror",Fred Dekker,Vestron Video,82 minutes,"Andre Gower, Robby Kiger, Stephen Macht"
7,4010,A Month in the Country,N/A,80%,5,80%,618,"Pat OConnor directs this tranquil version of the J. L. Carr novel, adapted for the screen by Simon Gray. The film concerns two emotionally scarred men recovering from the horrors of World War I during an idyllic summer in the English countryside. It is 1919, and war veteran Tom Birkin (Colin Firth) travels to the small English village of Oxgodly to restore a medieval church mural that is hidden under coats of plaster. At the same time, another war veteran, archaeologist John Moon (Kenneth Branagh) is exploring the nearby fields trying to uncover an ancient church grave. As they toil away in this placid environment, their emotional war wounds are gradually healed, and they come to terms with their problems. Birkin finds himself falling in love with Alice Keach (Natasha Richardson), the wife of the local vicar, while Moon finds himself learning to deal with his homosexuality.",PG,Drama,Pat O'Connor,Cinema Club,92 minutes,"Colin Firth, Kenneth Branagh, Natasha Richardson"
8,4011,Morgan Stewart's Coming Home,N/A,N/A,N/A,N/A,N/A,"An ambitious father thinks nothing of using his own son to achieve his political goals in this adolescent comedy. The lonely boy has spent the last seven years tucked away and ignored by his parents, Senator Tom Morgan and his social-climbing wife Nancy, in a distant boarding school. As the story begins, he receives the depressing news that once again they will be too busy to have him home for the holidays. But then, out of the blue, they change their minds and invite him home to stay there for good. The boy is elated, but soon after his arrival, he learns the bitter truth: his father only brought him back because it is an election year and his campaign manager thought he might do better if the public saw him as more of a family man. The boy then decides that it is high time some changes were made around the house and mayhem ensues.",PG-13 (adult situations/language),Comedy,"Paul Aaron, Terry Winsor, Alan Smithee",HBO Video,96 minutes,"Jon Cryer, Lynn Redgrave, Nicholas Pryor"
9,4012,My Demon Lover,N/A,N/A,N/A,N/A,N/A,"A young man named Kaz (Scott Valentine), afflicted with the curse of turning into an animal at the least sign of sexual arousal, tries to remain friends with a girl hes just met (Michelle Little). Meanwhile, he recruits a bizarre street scientist (Arnold Johnson) to create an antidote to the curse before its too late.",PG-13,"Comedy, Horror","Charles Loventhal, Charlie Loventhal",Warner Home Video,90 minutes,"Scott Valentine, Michelle Little, Arnold Johnson"
