,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,26004,The Duke Of Burgundy,"Stylish, sensual, and smart, The Duke of Burgundy proves that erotic cinema can have genuine substance.",94%,101,65%,3543,"Day after day, Cynthia (Sidse Babett Knudsen) and Evelyn (Chiara DAnna) act out a simple yet provocative ritual that ends with Evelyns punishment and pleasure. As Cynthia yearns for a more conventional relationship, Evelyns obsession with erotica quickly becomes an addiction that may push the relationship to a breaking point. (C) Sundance Selects",NR,"Drama, Romance",Peter Strickland,IFC Films,106 minutes,"Chiara D'Anna, Sidse Babett Knudsen, Eugenia Caruso"
1,26005,Red Army,"Fun and fascinating, Red Army delivers absorbing documentary drama for hockey fans and sports novices alike.",92%,101,85%,6785,"From Oscar (R) nominated and Emmy award-winning filmmakers, RED ARMY is a feature documentary about the Soviet Union and the most successful dynasty in sports history: the Red Army hockey team. Told from the perspective of its captain Slava Fetisov, the story portrays his transformation from national hero to political enemy. From the USSR to Russia, the film examines how sport mirrors social and cultural movements and parallels the rise and fall of the Red Army team with the Soviet Union. RED ARMY is an inspiring story about the Cold War played out on the ice rink, and a man who stood up to a powerful system and paved the way for change for generations of Russians. (C) Sony Classics",PG (for thematic material and language),"Documentary, Sports & Fitness",Gabe Polsky,Sony Pictures Classics,85 minutes,"Vyacheslav Fetisov, Vladislav Tretiak, Viacheslav Fetisov"
2,26008,Java Heat,N/A,7%,14,28%,507,"At a time when relations between the West and Islam are dangerously tense, Java Heat opens amidst the aftermath of a terrorist attack in Indonesia, the worlds largest Muslim nation. Java Heat centers on Jake (Lutz), a reckless American tough guy who becomes embroiled in the turmoil ensuing the attacks, which killed the countrys much beloved Sultana. Jake is bent on vengeance but quickly finds the world a more complicated place than he can solve with violence alone. Lost among labyrinths of religious, political and cultural havoc, Jake must ally with cerebral Muslim detective Hashim (rising Indonesian star Ario Bayu), who handles Jake more like a suspect than a partner. The uneasy friendship leads to a treacherous man-hunt for the attacks real instigator, a new breed of klepto-terrorist (Rourke), who is even more twisted and terrifying than the Jihadist terrorists he hides behind. (c) IFC Films","R (for violence throughout, language and sexual references)","Action & Adventure, Drama, Mystery & Suspense",Conor Allyn,IFC Films,104 minutes,"Mickey Rourke, Kellan Lutz, Ario Bayu"
3,26009,The Sasquatch Gang,N/A,46%,13,57%,3258,"As a trio of fantasy-obsessed, sword-fighting geeks attempt to prove that the giant tracks discovered deep in the forest offer undisputed proof that Bigfoot truly exists, a stoned-out bully and his best friend scheme to profit from their elaborate prank before an overzealous Sasquatch hunter arrives to blow the whole scam sky-high. His beloved Pontiac Firebird threatened with repossession by the bank, mullet-haired menace Zerk (Justin Long) convinces his best friend, Shirts (Joey Kern), to help raise money to save the car by selling plaster casts of fake Bigfoot tracks on the Internet. When role-playing dweebs Gavin (Jeremy Sumpter), Hobie (Hubbel Palmer), and Maynard (Rob Pinkston) stumble upon the falsified ""evidence,"" they naïvely assume it to be the genuine article. Now, self-proclaimed Sasquatch expert Dr. Artemis Snodgrass (Carl Weathers) is on his way to town to verify the widely reported discovery. With little time to loose before their ruse is revealed, the lame-brained Internet scammer and his pal rush to cash in as quickly as possible in order to save Zerks sweet ride from the dreaded repo man.",PG-13 (Rated PG-13 for crude humor and language.),"Comedy, Science Fiction & Fantasy",Tim Skousen,Screen Media Films,84 minutes,"Justin Long, Joey Kern, Jeremy Sumpter"
4,26010,Peeples,"Peeples is a warm, amiable farce that offers a few chuckles but mostly falls back on predictable plotting and an overwrought message.",37%,62,49%,17504,"Sparks fly in the Hamptons when ""regular guy"" Wade Walker (Craig Robinson) crashes the preppy Peeples family reunion to ask for their precious daughter Graces (Kerry Washington) hand in marriage. Wade might be a fish out of water among this picture-perfect East Coast clan always trying to keep up appearances, but hes not about to let himself sink. Instead, in a wild weekend of fun, dysfunction and hilarious surprises, Wade is about to discover theres room for all kinds of Peeples in this family, no matter their differences. Writer and first-time director Tina Gordon Chism (writer of DRUMLINE) joins forces with Tyler Perry to present a laugh-out-loud look at the family ties that freak us out . . . but bind us together with love. (c) Lionsgate","PG-13 (for sexual content, drug material and language)",Comedy,Tina Gordon Chism,Lionsgate Films,94 minutes,"Kerry Washington, David Alan Grier, S. Epatha Merkerson"
5,26013,Room 6,N/A,33%,6,19%,2948,"A young schoolteacher with a serious fear of hospitals must face her worst fears when her boyfriend is injured in a car accident and spirited away to a nightmarish medical center where demons don medical scrubs and nefarious nurses bathe in the blood of their suffering patients. Amys (Christine Taylor) boyfriend has just been involved in a major car accident, but when Amy receives word that her boyfriend has been taken to a hospital that no longer exists, she determines to face her fears and bring her boyfriend back home no matter what horrors await her. Accompanied by a concerned stranger (Jerry O Connell) who remains steadfast in his determination to solve the mystery of St. Rosemarys, Amy is forced to enter a hallucinatory world of soul-shredding terror where nothing is as it seems and unspeakable horrors lie down every dark and lonely hallway.",NR,"Horror, Mystery & Suspense","Michael Hurst, Mike Hurst",Anchor Bay Entertainment,94 minutes,"Christine Taylor, Jerry O'Connell, Shane Brolly"
6,26014,When in Rome,"A pair of young, attractive leads can't overcome When in Rome's reliance on unfunny gags and threadbare rom-com clichés.",17%,112,41%,157963,"Kristen Bell steps into the romantic comedy realm with When in Rome, a Buena Vista production following a lonely womans good fortune with the opposite sex after swiping a few coins from a wishing fountain while on a vacation in Rome. Mark Steven Johnson directs from a script by David Diamond and David Weissman, with Danny DeVito, Jon Heder, and Dax Shepard co-starring as some of the hopeful suitors.",PG-13 (for some suggestive content),"Comedy, Drama, Romance",Mark Steven Johnson,Walt Disney Pictures,91 minutes,"Kristen Bell, Josh Duhamel, Anjelica Huston"
7,26015,F,N/A,77%,13,23%,305,A terrified group of teachers and students are locked inside of a high school by a mysterious gang of vigilantes who waste no time in picking off the unlucky victims one by one.,R,"Art House & International, Horror, Mystery & Suspense",Johannes Roberts,Black Robe,79 minutes,"Eliza Bennett, Juliet Aubrey, David Schofield"
8,26016,The Single Moms Club,"The Single Moms' Club finds Tyler Perry avoiding some of the pitfalls of his earlier work, but continuing to rely on heavy-handed melodrama at the expense of sensible characters or absorbing storylines.",19%,27,58%,26788,"When five struggling single moms put aside their differences to form a support group, they find inspiration and laughter in their new sisterhood, and help each other overcome the obstacles that stand in their way. (c) Lionsgate",PG-13 (for some sexual material and thematic elements),"Comedy, Drama",Tyler Perry,Lionsgate Films,111 minutes,"Wendi McLendon-Covey, Nia Long, Amy Smart"
9,26017,Nothing Left to Fear,N/A,9%,11,16%,690,"NOTHING LEFT TO FEAR was inspired by the legend of Stull, Kansas. Wendy (Anne Heche), her husband Dan (James Tupper of ""Revenge"") and their kids have just moved to the small town of Stull, Kansas, where Dan is the new pastor. But in this sleepy community of friendly neighbors, a horrific series of occurrences awaits them: Their teenage daughter (Rebekah Brandes of Bellflower) is being tormented by grisly visions. Her younger sister (Jennifer Stone of ""Wizards Of Waverly Place"") has been marked for a depraved ritual. And deep within the heartland darkness, one of The Seven Gates Of Hell demands the blood of the innocent to unleash the creatures of the damned. Ethan Peck (""10 Things I Hate About You"") and Clancy Brown (The Shawshank Redemption) co-star in this demonic shocker featuring original music by producer SLASH and inspired by the real-life paranormal legacy of Stull. NOTHING LEFT TO FEAR was written by Jonathon W.C. Mills and directed by Anthony Leonardi III. (c) Official Facebook",R (for disturbing violent content and some language),Horror,Anthony Leonardi III,Anchor Bay Entertainment,100 minutes,"Anne Heche, James Tupper, Ethan Peck"
