,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,24000,Coherence,"A case study in less-is-more filmmaking, Coherence serves as a compelling low-budget calling card for debuting writer-director James Ward Byrkit.",88%,88,88%,7621,"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events. Part cerebral sci-fi and part relationship drama, COHERENCE is a tightly focused, intimately shot film whose tension intensely ratchets up as its numerous complex mysteries unfold. (c) Oscilloscope",NR (http://coherencethemovie.com/),"Drama, Science Fiction & Fantasy",James Ward Byrkit,Oscilloscope Pictures,89 minutes,"Emily Foxler, Maury Sterling, Nicholas Brendon"
1,24001,"Schöner Gigolo, armer Gigolo (Just A Gigolo)",N/A,N/A,N/A,N/A,N/A,"David Bowie shows once again that he is a multi-talented genius who is not limited to his rock-star status. In this movie he plays a Prussian WWI veteran who wanders around Berlin after the war, eventually becoming a male prostitute. With cameos by such grande dames as Dietrich and Novak, the cast is superb but the movie lacks continuity. The 147 minute version is much better than the sliced up 98 minute version of this movie, though its harder to sit through.",R,Drama,David Hemmings,Leguan Film,105 minutes,"David Bowie, Sydne Rome, Kim Novak"
2,24002,Redwood Highway,N/A,80%,10,80%,283,"Living in a comfortable retirement community in Southern Oregon, estranged from her family, unsatisfied with her surroundings, and generally not happy about life, Marie (Shirley Knight) decides to journey 80 miles on foot to the coast of Oregon to see the ocean for the first time in 45 years and attend her granddaughters wedding as an unexpected guest. Along the way, she meets an extraordinary cast of characters and discovers that youre never too old to learn something about life and about yourself. (c) Monterey Media",PG-13 (for thematic elements including a scene of menace),Drama,Gary Lundgren,Monterey Media,90 minutes,"Shirley Knight, Tom Skerritt, James Le Gros"
3,24003,The Scarlet Clue,N/A,N/A,N/A,N/A,N/A,"Though it isnt saying much, The Scarlet Clue is probably the best of Monograms ""Charlie Chan"" mysteries. This time, oriental sleuth Charlie Chan (Sidney Toler) and his bumbling assistants, son Tommy Chan (Benson Fong) and chauffeur Birmingham Brown (Mantan Moreland), search for a gang of spies whove stolen plans for a revolutionary new radar system. The trail of clues takes Chan and company to a television studio, where they confront such suspects as comedian/announcer Willie Rand (Jack Norton), leading lady Diane Hall (Helen Devereaux) and pompouse ex-horror star Horace Carlos (Leonard Mudie). The mystery itself is unimportant: The Scarlet Clue is highlighted by such bizarre touches as having veteran movie ""souse"" Jack Norton playing a female role on a daily soap-opera broadcast! And as usual, the films duller stretches are enlivened by the stream-of-conscious ramblings of comedy relief Mantan Moreland.",NR,"Action & Adventure, Classics, Drama, Mystery & Suspense",Phil Rosen,MGM/UA Home Entertainment,65 minutes,"Sidney Toler, Mantan Moreland, Benson Fong"
4,24004,A Birder's Guide To Everything,N/A,86%,22,86%,1425,"David Portnoy (Kodi Smit-McPhee), a 15-year-old birding fanatic, thinks that hes made the discovery of a lifetime. So, on the eve of his fathers remarriage, he escapes on an epic road trip with his best friends to solidify their place in birding history. (c) Official Site","PG-13 (for language, sex and drug references, and brief partial nudity)",Comedy,Rob Meyer,Screen Media Ventures/Focus Features,87 minutes,"Ben Kingsley, James Le Gros, Kodi Smit-McPhee"
5,24005,A Woman's Tale,N/A,100%,6,100%,44,"Australian director Paul Cox, skilled at intense psychological stories about lone souls looking for comfort in a cold world, was at his best with this original script co-written by the director and Barry Dickins. Martha is a 78-year-old woman living out her final days. Not a maudlin tale of a lonely woman wasting away, A Womans Tale focuses on a human who manages to maintain an amazing vitality in the face of death. She encourages her young nurse, Anna (Gosia Doborowolska), to use her flat for romantic trysts; she looks in on Billy (Norman Kayes), an elderly neighbor, and she resists attempts by her son Johanathan (Chris Haywood) to place her in a nursing home. Sheila Florances performance as Martha is a marvel, especially given the art-imitates-life aspect of production: Florance was terminally ill, and she died soon after she was nominated for the Best Actress Award for Australias Academy Awards.",PG-13,Drama,Paul Cox,Illumination Films,100 minutes,"Sheila Florance, Gosia Dobrowolska, Norman Kaye"
6,24007,Beautiful,N/A,N/A,N/A,N/A,N/A,,NR,"Documentary, Drama, Musical & Performing Arts",,N/A,N/A,"Soo-Yeon Cha, Lee Chun-hee, Choi Moo-seong"
7,24008,King's Faith,N/A,N/A,N/A,N/A,N/A,"Brendan King is a foster kid who grew up on the wrong side of the law, graduating from five-finger discounts and fights on the playground to drug-dealing and gun-running as a member of the multi-racial gang called Avenue D. Arrested in a federal raid when he was fifteen and imprisoned for three years until his parole at eighteen, Brendan has found a relationship with God, and with it he has turned his life around. Upon his release, he moves in with a new foster family, Mike and Vanessa Stubbs, and starts attending high school in a suburb near the city where he grew up. (c) Official Site","PG-13 (for violence, some drug content and thematic elements)","Drama, Faith & Spirituality",Nicholas DiBella,Independent Pictures,108 minutes,"Crawford Wilson, Kayla Compton, James McDaniel"
8,24009,Cantinflas,N/A,45%,20,45%,4884,"Cantinflas is the untold story of Mexicos greatest and most beloved comedy film star of all time. From his humble origins on the small stage to the bright lights of Hollywood, Cantinflas became famous around the world - one joke at a time. Relive the laughter that has charmed generations. (C) Pantelion","PG (for thematic elements, language, smoking and some suggestive material)",Drama,Sebastián del Amo,Lionsgate Films,96 minutes,"Oscar Jaenada, Michael Imperioli, Ilse Salas"
9,24011,Exists,N/A,30%,23,30%,1695,"For five friends, it was a chance for a summer getaway- a weekend of camping in the Texas Big Thicket. But visions of a carefree vacation are shattered with an accident on a dark and desolate country road. In the wake of the accident, a bloodcurdling force of nature is unleashed-something not exactly human, but not completely animal- an urban legend come to terrifying life...and seeking murderous revenge.(C) Lionsgate","R (for language throughout, some violence, sexual content and drug use)",Horror,Eduardo Sánchez,Lionsgate,86 minutes,"Chris Osborn, Roger Edwards, Samuel Davis"
