,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,9002,Diggstown,N/A,57%,14,77%,5416,"In this light-hearted sports comedy, an ex-convict is no sooner back on the streets than he is working on a brand new scam. This time he decides to hustle a professional Georgia gambler by setting up a sting involving a talented but aging boxer.",R,"Action & Adventure, Comedy, Drama",Michael Ritchie,MGM Home Entertainment,97 minutes,"James Woods, Louis Gossett Jr., Bruce Dern"
1,9003,Innocent Blood,N/A,39%,23,44%,7184,"John Landis tries to replicate the quirky gory horror/sick-comedy ""vein"" he mined in An American Werewolf in London in Innocent Blood. Anne Parillaud plays Marie, a lonely vampire trapped in Pittsburgh and looking for some fresh blood. When a local gang war breaks out, Marie sees it as the perfect cover for her blood feasts. Her plan is to dine on the goodfellas (""What about Italian?"" she asks) and then destroy the evidence of her supper with a well-directed gun blast. But the coroner sees something usual when he gets to examine the gangland corpses, ""Theres a problem. Not enough blood. This guys about five quarts too low."" Meanwhile, an undercover cop named Joe Gennaro (Anthony LaPaglia) begins to suspect that Marie might be responsible for the killings after witnessing her lighter-than-air stunts in a church after some gangsters attack her. Things get more complicated when Marie seduces mob-boss Sal ""The Shark"" Macelli (Robert Loggia). Unable to finish her snack, Sal escapes and becomes one of the undead -- back from the grave but lusting after blood. Sal wants to start a new race of mob vampires, DeadFellas. This forces Marie to team up with Joe to stop Sals blood brothers from taking over Pittsburgh.",R,"Action & Adventure, Comedy, Horror, Romance",John Landis,Warner Home Video,113 minutes,"Anne Parillaud, Robert Loggia, Anthony LaPaglia"
2,9004,Johnny Suede,N/A,33%,12,47%,4723,Johnny Suede is a contemporary fable about a mildly talented young man with musical ambitions who is forced to confront some truths about himself.,R,"Art House & International, Comedy, Romance",Tom DiCillo,Miramax Films,97 minutes,"Brad Pitt, Calvin Levels, Alison Moir"
3,9007,Ladybugs,N/A,13%,16,42%,18556,"Rodney Dangerfield plays it cute in this comedy directed by veteran director Sidney J. Furie. Dangerfield plays Chester Lee, a man so anxious for a promotion that he agrees to coach a girls soccer team his company is sponsoring. If the team has a winning season, Chester will get his promotion. The only problem is that Chester knows nothing about soccer and the team is incompetent. If Chester doesnt get his raise he wont be able to marry his sweetheart Bess (Illene Graff), so he persuades his son Matthew (Jonathan Brandis), who is an expert soccer player, to don a wig and join the team as one of the girls. With Matthew on the team, they make their way to the championship, but Bess discovers the ruse and forces Chester to chose between her and the job.",PG-13,"Comedy, Kids & Family",Sidney J. Furie,Paramount Home Video,89 minutes,"Rodney Dangerfield, Jackée Harry, Jonathan Brandis"
4,9011,Shining Through,N/A,44%,16,73%,5522,"Kewpie-doll voiced Melanie Griffith does a sexed-up Nancy Drew turn in David Seltzers adaptation of Susan Issacs novel Shining Through. Set during World war II, Griffith plays Linda Voss, a spunky New York girl who applies for a job with international lawyer Ed Leland (Michael Douglas). Ed hires her immediately when he finds out that she speaks German fluently. The reason Ed is so interested in Lindas language skills is because Ed is an undercover OSS officer who needs a German translator. Their business relationship translates into love, but when America enters the war, Ed abandons his law practice to become a full-time spy. Utilizing Lindas charms, she travels to Berlin and infiltrates the Nazis as a domestic to try to discover information about ""a bomb that can fly by itself."" But Linda has personal as well as patriotic motives for agreeing to go undercover, since she has Jewish relatives in Berlin and wants to find out their whereabouts. ~ Paul Brenner, Rovi","R (nudity, violence)","Action & Adventure, Drama, Mystery & Suspense, Romance",David Seltzer,Twentieth Century Fox Home Entertainment,133 minutes,"Michael Douglas, Melanie Griffith, Liam Neeson"
5,9012,Sidekicks,N/A,10%,10,48%,7250,"In this actioner, a young boy dreams of being in a film with his high-kicking hero, Chuck Norris as the star battles a muscular villain.",PG,"Action & Adventure, Comedy, Drama, Kids & Family",Aaron Norris,Triumph Releasing,100 minutes,"Chuck Norris, Beau Bridges, Jonathan Brandis"
6,9015,Visions of Light: The Art of Cinematography,N/A,95%,19,85%,335,"Featuring clips from over one hundred films and interviews with numerous famed directors of photography, the documentary Visions of Light: The Art of the Cinematographer provides a general overview of the history of cinematography by focusing on some of the cinemas greatest visual achievements. Though all periods are covered, from the early days black and white expressionism and experimentation to the refined techniques of modern-day color cinematography, the film refrains from a strict chronology. Instead, Visions of Light is structured around a series of interviews by screenwriter and film critic Todd McCarthy, whose subjects include such notables as Michael Chapman, Ernest Dickerson, James Wong Howe, Gordon Willis, Vittorio Storaro, and Haskell Wexler, among others. These acknowledged greats discuss the details behind the making of their own films, in extended reminiscences providing an illuminating glimpse at their technique and methods. They also speak about the films and cinematographers that most influenced them, allowing the film to present a sense of historical perspective. These conversations, worthwhile as they are, are merely a frame for the documentarys true subject, which can be found in the film clips themselves, which are presented in pristine condition, showing their beauty and richness to full advantage.",NR,"Documentary, Musical & Performing Arts, Special Interest, Television","Arnold Glassman, Todd McCarthy, Stuart Samuels, Andrew Glassman",AFI,90 minutes,"Néstor Almendros, John A. Alonzo, John Bailey"
7,9022,Bad Boy Bubby,N/A,83%,6,88%,8030,"In this Australian cult comedy, Bubby has spent the first 35 years of his life locked in a disgusting basement by his abusive, controlling mother. Having been taught that the outside air is poisonous, he only realizes the truth when his long-absent father returns to disrupt the already twisted family unit.",NR,"Art House & International, Comedy, Drama",Rolf de Heer,Blue Underground,112 minutes,"Nicholas Hope, Ralph Cotterill, Norman Kaye"
8,9024,Barbarians at the Gate,N/A,71%,7,75%,679,"In this immensely-entertaining TV movie, CEO F. Ross Johnson has just been burned by a failed product and begins drawing up plans to buy the company outright so hell have no one to answer to but himself. Unfortunately for Johnson, his company is being coveted by a sharkish ""buyout king.""",R,"Comedy, Drama, Television",Glenn Jordan,HBO Video,107 minutes,"James Garner, Jonathan Pryce, Peter Riegert"
9,9031,Josh and S.A.M.,N/A,25%,8,48%,1411,"In this road movie, the motorists are a pair of preteens--brothers Josh (Jacob Tierney) and Sam (Noah Fleiss)--who hit the highway after their parents announce their pending divorce.",PG-13,"Action & Adventure, Comedy, Drama, Kids & Family","Billy Weber, Willy Weber",Sony Pictures Home Entertainment,98 minutes,"Jacob Tierney, Noah Fleiss, Martha Plimpton"
