,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,0,Houseguest,"Perplexingly unfunny given the involvement of its two hilarious leads, Houseguest wears out its welcome almost immediately.",14%,21,55%,11131,"Sinbad offers some unusual advice on how to make friends in this wacky comedy. Kevin Franklin (Sinbad) is a guy who dreams of starting his own business. However, getting it off the ground is another matter altogether, and soon Kevin discovers that the two loan sharks who fronted him money want to be paid, and paid promptly, otherwise Kevin will be spending some time in the hospital. On the run through an airport, Kevin is trying to find a way out when he overhears Gary Young (Phil Hartman) wondering where his friend is. It seems that Gary has arranged a reunion with an old friend from childhood, but since he hasnt seen him in 25 years, he has no idea what he looks like today, beyond the fact that hes black. Kevin fits the bill that far and claims to be Garys long lost buddy, which Gary buys hook, line, and sinker. Gary seems to enjoy bonding with his old friend, and Kevin likes staying at Garys fine home (and raiding his large icebox), but Kevin discovers that impersonating a stranger is a lot more complicated than he expected after hes forced to perform oral surgery and give a speech at a grade school ""Career Day"" presentation. However, this is all small potatoes on the ""oh, no"" scale when the loan sharks track Kevin back to Garys home in the suburbs.",PG,Comedy,"Scott Senechal, Randall Miller",N/A,109 minutes,"Sinbad, Phil Hartman, Kim Greist"
1,1,Frank and Ollie,N/A,88%,8,90%,662,"This documentary profiles Frank Thomas and Ollie Johnston, the two artists responsible for the Disney style of animation. The two close friends are responsible for making 23 feature during their 40 years at Disney. Films include Snow White, Bambi and Pinnochio. Together they were a perfectly complimentary pair. Frank was analytical and Ollie intuitive. It is also interesting that their personal lives closely paralleled each other.",PG,"Documentary, Kids & Family, Musical & Performing Arts, Television",Theodore Thomas,N/A,89 minutes,"Ollie Johnston, Sylvia Roemer, John Canemaker"
2,2,Butterfly Kiss,N/A,77%,13,60%,1716,"This unsettling variation on Thelma and Louise (1991) is an unusual and often macabre love story/black comedy about two peculiar women, played by Amanda Plummer and Saskia Reeves, who roam through Northern England on a killing spree. Plummer is Eunice, a tattooed, schizophrenic free spirit who is wandering in search of her recently departed lover, Judith. She leaves one gas station attendant dead when the person admits to not being Judith. But when she meets Miriam (Reeves), another gas station attendant who longs for love and attention, Eunice doesnt ask the fatal question. Strangely captivated by the eccentric woman, Miriam spends the night with Eunice and falls under her peculiar charm, Calling each other ""Eu"" and ""Mi,"" they hit the road, where they murder anyone who gets in their way. Both women sense that their actions will ultimately bring about a tragic end, but their dedication to their cause (rebelling against men who trivialize and demean women everywhere) and their love for one another gives them the strength to carry on. Though Plummers Eunice seems to have the upper hand through most of the film, it is the sacrifice that ""Mi"" makes for ""Eu"" that catches and holds the viewer at the conclusion of this bizarre little tale. ~ Don Kaye, Rovi",R,"Art House & International, Comedy, Drama",Michael Winterbottom,N/A,85 minutes,"Amanda Plummer, Saskia Reeves, Paul Bown"
3,3,Beautiful Thing,"An engaging slice of life drama that happens to double as a gay coming-of-age story, Beautiful Thing captures its place and time with deceptive depth and skill.",91%,22,93%,10388,"In this alternately somber and witty coming-of-age drama, a pair of teenage boys growing up in a working-class neighborhood become aware of their homosexuality. Introspective Jamie (Glen Berry) is the son of Sandra (Linda Henry), a tough but warm-hearted barmaid who lives in a public housing block in a rough-and-tumble section of South London. Living a few doors away is Jamies classmate Ste (Scott Neal), an athletic type who often has to take a beating from his hard-drinking father and hard-headed brother. One night, Jamie and Sandra discover that Ste has been kicked out of the apartment and has nowhere to spend the night; Jamie lets him stay at his place, and a casual closeness eventually stirs sexual feelings. While both were vaguely aware they might be gay, neither had ever acted on their impulses, and once Jamie and Ste decide that theyre attracted to each other, neither is sure just what to do. Tony (Ben Daniels), Sandras boyfriend, doesnt know what to think about Jamies new lifestyle. Meanwhile, Jamie and Ste are themselves a bit puzzled by their neighbor Leah (Tameka Empson), a teenager obsessed with the life and music of Mama Cass Elliott. ~ Mark Deming, Rovi",R,"Comedy, Drama",Hettie MacDonald,N/A,89 minutes,"Linda Henry, Andrew Fraser, Glen Berry"
4,4,For Ever Mozart,N/A,56%,9,57%,875,"Ironic, humorless and obscurely plotted, this highly symbolic effort is somewhat loosely divided into four sections. The rather free-form narrative begins as a noted philosophy professor, her husband, and their maid prepare to board a Bosnia-bound train. After disembarking in the war-torn country, the travelers are captured by Serbians.",NR,"Art House & International, Special Interest",Jean-Luc Godard,N/A,84 minutes,"Bérangère Allaux, Madeleine Assas, Ghalia Lacroix"
5,5,Little Boy Blue,N/A,25%,8,70%,1198,"Permanently damaged Vietnam vet Ray drinks to much and terrorizes his family, particularly his wife and eldest son Jimmy. A police investigation, the revelation of secrets, Jimmys sudden disappearance, and the reappearance of a vengeful woman from Rays past causes set in motion the accelerated disintegration of the family.",R,"Drama, Mystery & Suspense",Antonio Tibaldi,N/A,102 minutes,"Ryan Phillippe, Nastassja Kinski, John Savage"
6,7,Smashing Time,N/A,100%,6,53%,111,"Smashing Time attempts to turn British actresses Rita Tushingham and Lynn Redgrave into a female Laurel and Hardy. The films second mistake is to prolong the joke for 96 minutes. Tushingham and Redgrave play a couple of dimwitted North Country girls who head to London, in hopes of breaking into the mad, mod world of fashion modeling. Instead they spend most of their screen time getting in each others way and wreaking havoc on innocent pedestrians. The comic ""highlight"" of Smashing Time is supposed to be a mammoth pie fight; but outside of one cute throwaway gag involving a street minister, the sequence makes one wish, in the words of Laurel and Hardy buff Leonard Maltin, that Smashing Time ""had been handled by someone other than [director] Desmond Davis."" ~ Hal Erickson, Rovi",NR,"Comedy, Musical & Performing Arts",Desmond Davis,N/A,96 minutes,"Rita Tushingham, Lynn Redgrave, Michael York"
7,8,Make Mine Music,"This collection of musical-themed shorts doesn't reach the artistic heights of Fantasia, but it's well animated and mostly good fun.",70%,10,42%,2348,"In his first postwar animated feature, Walt Disney attempted to repeat the Fantasia formula, substituting ""pop"" music for the Classics. Make Mine Music consists of ten unrelated cartoon vignettes, each one featuring a popular recording artist. ""A Rustic Ballad"" is the story of the Martin-Coy hillbilly feud, narrated musically by the Kings Men. ""A Tone Poem"" is an impressionistic interpretation of the song ""Blue Bayou"", sung by the Ken Darby chorus and rendered artistically by Disneys ace animators. ""A Jazz Interlude"", done in ""sketchbook"" style, is performed by Benny Goodman and His Orchestra, and features the jitterbug specialty ""All the Cats Join In"". Jerry Colonna is next on the program in ""A Musical Recitation"", offering his own inimitable version of ""Casey at the Bat"". ""Ballad Ballet"" features Ballet Russe stars Tatiana Riabouchinska and David Lichine, dancing to Dinah Shores vocalization of ""Two Silhouettes"". ""A Fairy Tale with Music"" turns out to be Prokofievs ""Peter and the Wolf"", narrated by Sterling Holloway. Next, Benny Goodman and company return with a surreal visualization of ""After Youve Gone"", followed by ""A Love Story"", which features the Andrews Sisters rendition of the ballad ""Johnny Fedora and Alice Blue Bonnet."" The hilarious ""Opera Pathetique"" finale finds Nelson Eddy narrating the story of Willy, ""The Whale Who Wanted to Sing at the Met"". Better in its individual components than its sum total, Make Mine Music was drubbed by critics, who felt that Disney had abandoned his ""artistic"" aspirations in favor of crass commercialism, but performed reasonably well at the box office, inspiring several more ""omnibus"" animated features. In later years, the ten individual segments would be released as separate short subjects, both theatrically and as episodes of Disneys various TV series (where the original narration was often supplanted by the unfunny interpolations of Professor Ludwig Von Drake).",NR,"Animation, Classics, Kids & Family, Musical & Performing Arts","Hamilton Luske, Clyde Geronimi, Jack Kinney, Joshua Meador, Robert Cormack, Bob Cormack, Nelson Eddy, Dinah Shore, Benny Goodman, Jerry Colonna, Joe Grant, Sterling Holloway",N/A,67 minutes,"Benny Goodman, Sterling Holloway, Dinah Shore"
8,9,Big Business,N/A,44%,16,69%,20074,"Thanks to a mix-up at birth, two sets of twins are separated and grow up in radically different social circles. The four baby girls grow up to be Bette Midler and Lily Tomlin-and Bette Midler and Lily Tomlin. One of the Midlers is a ruthless New York CEO, while one of the Tomlins is her air-headed ""save the whales"" business partner. Thousands of miles away in a Southern industrial town, a blue-collar Bette Midler and Lily Tomlin work for a company that the white-collar Midler plans to devour in a hostile takeover. The ""poor"" Midler and Tomlin head to New York to argue against the takeover, inevitably getting mixed up with the ""rich"" Midler and Tomlin. Three of the four twins team up to save the small-town company, while CEO Midler remains as nastily greedy as ever. Clear enough?",PG,Comedy,Jim Abrahams,N/A,98 minutes,"Bette Midler, Lily Tomlin, Fred Ward"
9,10,Ernest Saves Christmas,N/A,36%,14,42%,48205,"Slow-witted and annoying as all get out, commercial spokesperson Ernest (Jim Varney) is a cab driver in Miami and finds himself squiring a burned out Santa Claus around town helping his search for a replacement so he can finally retire.",PG,"Comedy, Kids & Family","John R. Cherry III, John Cherry",N/A,91 minutes,"Jim Varney, Douglas Seale, Oliver Clark"
